lis,name,building,level,google_id,image_url,permission,hasTable,hasWifi,capacity,hasMicrowave,hasSocket,hasFood,noEating,hasCoffee,hasComputer
31,Kelvin Hall Caf?,Kelvin Hall,3,ChIJhRwc-tBFiEgRbLs3EJOuEig,https://pagepark.co.uk/wp/wp-content/uploads/2017/11/Kelvin-Hall-Cafe.gif,None,TRUE,TRUE,110,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
32,Foyer,Western Infirmary Lecture Theatre,1,ChIJLWFwK9BFiEgRxV-D6wW5Y6A,https://disabledgoimageslive.blob.core.windows.net/access-guides/3e5dbfa7-e6e6-0a4f-bb24-0f63a06f77e5/7e244540-7491-8340-9406-ce003553b248.jpg,None,TRUE,TRUE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Foyer,McIntyre Building,1,ChIJL2uwC9JFiEgRaam4HexBjJA,https://disabledgoimageslive.blob.core.windows.net/access-guides/26559ae7-2028-7c4d-be23-48cb03bd0759/3c3c6eaa-c0d0-5c42-ae13-31dcc88d160f.jpg,None,TRUE,TRUE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,The Walton Library & Resource Centre,Wolfson Medical School Building,3,ChIJP3FvMM5FiEgR5bDCsb73UhY,https://disabledgoimageslive.blob.core.windows.net/access-guides/f2945130-70a9-ef44-af31-4f0145f12ad3/7b6d44f5-01dc-504f-8a9c-25d680a68d87.jpg,University Student/Satff ID required,TRUE,TRUE,230,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
35,Computing Science Lab 1028,Boyd Orr Building,10,ChIJ84mnP85FiEgRggBlYJGkBVc,https://disabledgoimageslive.blob.core.windows.net/access-guides/bdc81d97-344b-d244-89b7-232c207176e7/dd0b8ff2-431d-af4b-8e71-5874d562c941.jpg,School of Computing Science student ID required,TRUE,TRUE,100,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
36,Computing Science Lab 720,Boyd Orr Building,7,ChIJ84mnP85FiEgRggBlYJGkBVc,http://cdn3.ahr-global.com/images/1_BoydOrrComputing_1920x1080_2.jpg,School of Computing Science student ID required,TRUE,TRUE,72,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
37,Reading Room,McMillan Round Reading Room,1,ChIJVdE7ic1FiEgRf_rCeHQLg6U,https://www.canon-emirates.ae/media/university_of_glasgow_objective_tcm209-1417130.jpg,None,TRUE,TRUE,350,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
38,Food in focus - Library,Glasgow University Library,3,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://media.thetab.com/blogs.dir/11/files/2017/03/20170322-120045-e1491236301851.jpg,Student and staff ID required,TRUE,TRUE,150,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
39,Level 1 - Library,Glasgow University Library,1,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://taylorandfraser.com/wp-content/uploads/2018/04/3O7A0689-782x475.jpg,Student and staff ID required,TRUE,TRUE,350,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
40,Level 2 - Library,Glasgow University Library,2,ChIJ615vB81FiEgR8IC4Yq2kyY8,https://pbs.twimg.com/media/CoSiLbOWIAAhpJS.jpg,Student and staff ID required,TRUE,TRUE,120,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
